CODIBGE;CDIBGE6D;Nome_Mun;Regiao_Turistica
5210562;521056;Itaguari;Municípios fora da Região
5210604;521060;Itaguaru;Municípios fora da Região
5210802;521080;Itajá;Municípios fora da Região
5210901;521090;Itapaci;Municípios fora da Região
5211008;521100;Itapirapuã;Municípios fora da Região
5211206;521120;Itapuranga;Região Turística do Ouro 
5211305;521130;Itarumã;Municípios fora da Região
5211404;521140;Itauçu;Municípios fora da Região
5211503;521150;Itumbiara;Região Turística Lagos do Paranaíba
5211602;521160;Ivolândia;Municípios fora da Região
5211701;521170;Jandaia;Região Turística Pegadas no Cerrado
5211800;521180;Jaraguá;Região Turística do Ouro 
5211909;521190;Jataí;Região Turística Pegadas no Cerrado
